,CustomerID,Recency,Frequency,Monetary,Cluster
77,12442.0,2,1,172.06,Occasional
78,12444.0,20,5,5005.46,Occasional
79,12445.0,21,1,133.4,Occasional
80,12446.0,57,1,1002.31,Occasional
81,12447.0,242,1,476.49,At-Risk
82,12448.0,43,1,449.45,Occasional
83,12449.0,21,4,4067.29,Occasional
84,12450.0,155,2,197.88,At-Risk
85,12451.0,10,5,9035.52,Occasional
86,12452.0,16,2,430.57,Occasional
87,12453.0,133,1,707.09,Occasional
88,12454.0,55,1,3528.34,Occasional
89,12455.0,72,6,2466.86,Occasional
90,12456.0,43,3,3181.04,Occasional
91,12457.0,65,7,2363.23,Occasional
92,12458.0,70,2,947.4,Occasional
93,12461.0,93,2,826.88,Occasional
94,12462.0,18,2,1189.59,Occasional
95,12463.0,52,4,1344.78,Occasional
96,12464.0,9,8,1212.05,Occasional
97,12465.0,16,2,742.1899999999999,Occasional
98,12468.0,187,2,729.54,At-Risk
99,12471.0,1,30,19824.05,Regular
100,12472.0,31,7,6572.11,Occasional
101,12473.0,28,5,3938.55,Occasional
102,12474.0,16,18,7375.79,Regular
103,12475.0,53,1,723.38,Occasional
104,12476.0,15,11,6816.42,Regular
105,12477.0,22,6,13219.74,Occasional
106,12478.0,3,1,680.99,Occasional
107,12479.0,10,1,527.2,Occasional
108,12480.0,27,4,3281.63,Occasional
109,12481.0,22,10,5596.32,Regular
110,12483.0,16,8,2484.98,Occasional
111,12484.0,32,6,4541.72,Occasional
112,12488.0,9,3,1298.66,Occasional
113,12489.0,335,1,334.93,At-Risk
114,12490.0,4,10,5417.93,Regular
115,12491.0,38,1,460.4,Occasional
116,12492.0,62,2,263.21,Occasional
117,12493.0,165,2,433.74,At-Risk
118,12494.0,15,7,1246.1,Occasional
119,12497.0,81,1,1043.1,Occasional
120,12498.0,20,3,403.7,Occasional
121,12500.0,22,11,4257.82,Regular
122,12501.0,336,1,2169.39,At-Risk
123,12502.0,95,5,3723.87,Occasional
124,12504.0,17,2,482.05,Occasional
125,12506.0,232,1,73.5,At-Risk
126,12507.0,133,3,1304.81,Occasional
127,12508.0,25,2,398.27,Occasional
128,12509.0,283,1,176.5,At-Risk
129,12510.0,142,2,982.57,Occasional
130,12512.0,65,2,138.03,Occasional
131,12513.0,112,1,612.29,Occasional
132,12514.0,266,1,1017.6800000000001,At-Risk
133,12515.0,352,1,383.7,At-Risk
134,12516.0,77,2,1312.06,Occasional
135,12517.0,27,5,2502.84,Occasional
136,12518.0,0,5,2056.89,Occasional
137,12519.0,63,1,340.84,Occasional
138,12520.0,78,5,2634.2599999999998,Occasional
139,12521.0,142,1,599.68,Occasional
140,12522.0,38,2,192.72,Occasional
141,12523.0,18,11,1789.77,Occasional
142,12524.0,8,8,4485.72,Occasional
143,12526.0,0,3,1316.66,Occasional
144,12527.0,81,3,348.71,Occasional
145,12528.0,8,6,1933.48,Occasional
146,12530.0,59,4,1662.28,Occasional
147,12531.0,14,1,125.22,Occasional
148,12532.0,29,1,349.83,Occasional
149,12534.0,130,1,1089.18,Occasional
150,12535.0,91,2,716.35,Occasional
151,12536.0,58,1,4279.71,Occasional
152,12538.0,28,1,363.95,Occasional
153,12539.0,21,4,5568.35,Occasional
154,12540.0,19,17,13400.24,Regular
155,12541.0,29,3,981.18,Occasional
156,12544.0,35,1,372.7,Occasional
157,12545.0,74,2,1000.39,Occasional
158,12546.0,46,2,1161.5,Occasional
159,12547.0,197,2,207.8,At-Risk
160,12548.0,165,1,95.19999999999999,At-Risk
161,12550.0,78,1,964.83,Occasional
162,12551.0,357,1,168.0,At-Risk
163,12552.0,38,2,437.82,Occasional
164,12553.0,7,10,3692.28,Occasional
165,12556.0,49,2,603.71,Occasional
166,12557.0,15,5,11990.960000000001,Occasional
167,12558.0,7,1,269.96,Occasional
168,12559.0,310,2,561.71,At-Risk
169,12560.0,4,3,2134.0099999999998,Occasional
170,12561.0,302,1,238.85,At-Risk
171,12562.0,7,7,3781.7400000000002,Occasional
172,12564.0,260,1,456.9,At-Risk
173,12565.0,288,1,145.92,At-Risk
174,12566.0,85,1,351.65,Occasional
175,12567.0,22,10,9401.28,Regular
176,12569.0,1,32,4124.69,Regular
177,12571.0,39,2,519.61,Occasional
178,12572.0,8,2,1020.42,Occasional
179,12573.0,226,1,160.54,At-Risk
180,12574.0,315,1,218.45,At-Risk
181,12576.0,35,5,1315.83,Occasional
182,12577.0,34,3,657.8,Occasional
183,12578.0,20,2,2794.51,Occasional
184,12579.0,77,1,440.42,Occasional
185,12580.0,246,1,415.7,At-Risk
186,12581.0,39,1,197.71,Occasional
187,12582.0,238,2,511.36,At-Risk
188,12583.0,2,15,7281.38,Regular
189,12584.0,3,9,2338.15,Occasional
190,12585.0,233,2,2040.1,At-Risk
191,12586.0,16,1,196.94,Occasional
192,12587.0,7,1,144.0,Occasional
193,12588.0,38,1,214.9,Occasional
194,12589.0,28,2,646.68,Occasional
195,12590.0,210,2,9864.26,At-Risk
196,12591.0,316,1,452.84999999999997,At-Risk
197,12592.0,91,2,437.6,Occasional
198,12593.0,108,3,418.1,Occasional
199,12594.0,37,10,3338.22,Occasional
200,12596.0,50,2,618.27,Occasional
201,12597.0,18,4,3811.22,Occasional
202,12598.0,9,8,3023.08,Occasional
203,12599.0,28,7,1032.58,Occasional
204,12600.0,28,10,2599.04,Occasional
205,12601.0,189,5,577.06,At-Risk
206,12602.0,58,1,153.12,Occasional
207,12603.0,21,1,739.2,Occasional
208,12604.0,78,2,254.17999999999998,Occasional
209,12607.0,59,1,1579.51,Occasional
210,12609.0,77,3,1126.85,Occasional
211,12610.0,22,5,2099.54,Occasional
212,12611.0,51,1,1193.32,Occasional
213,12612.0,73,1,704.04,Occasional
214,12613.0,56,5,3344.38,Occasional
215,12614.0,277,1,315.6,At-Risk
216,12615.0,1,4,2291.19,Occasional
217,12616.0,94,2,713.3,Occasional
218,12617.0,28,1,355.53000000000003,Occasional
219,12618.0,21,1,177.31,Occasional
220,12619.0,15,9,3641.24,Occasional
221,12620.0,14,3,1339.41,Occasional
222,12621.0,1,20,13689.67,Regular
223,12622.0,231,1,180.1,At-Risk
224,12623.0,275,1,305.1,At-Risk
225,12624.0,105,2,641.13,Occasional
226,12625.0,211,2,2683.82,At-Risk
227,12626.0,22,9,6620.48,Occasional
228,12627.0,10,7,4478.53,Occasional
229,12628.0,3,3,786.46,Occasional
230,12630.0,9,2,1270.88,Occasional
231,12631.0,56,1,640.5,Occasional
232,12633.0,58,4,2163.98,Occasional
233,12635.0,89,2,1689.18,Occasional
234,12637.0,66,8,6021.9,Occasional
235,12638.0,32,1,671.69,Occasional
236,12639.0,238,1,486.1,At-Risk
237,12640.0,23,3,1174.58,Occasional
238,12641.0,114,1,185.9,Occasional
239,12642.0,24,3,1013.26,Occasional
240,12643.0,127,6,3344.64,Occasional
241,12644.0,129,1,477.90999999999997,Occasional
242,12645.0,33,4,1775.18,Occasional
243,12646.0,4,2,1346.97,Occasional
244,12647.0,21,12,3722.82,Regular
245,12648.0,154,1,318.05,At-Risk
246,12649.0,106,3,623.51,Occasional
247,12650.0,2,1,314.44,Occasional
248,12651.0,334,1,114.0,At-Risk
249,12652.0,330,1,919.98,At-Risk
250,12653.0,148,2,2209.85,At-Risk
251,12654.0,10,5,601.98,Occasional
252,12656.0,16,5,4051.17,Occasional
253,12657.0,10,4,1643.18,Occasional
254,12658.0,18,1,686.05,Occasional
255,12659.0,29,1,91.68,Occasional
256,12660.0,10,1,245.1,Occasional
257,12662.0,0,11,3849.7799999999997,Regular
258,12664.0,7,9,4881.88,Occasional
259,12665.0,324,1,63.0,At-Risk
260,12667.0,57,1,620.13,Occasional
261,12668.0,11,4,3807.15,Occasional
262,12669.0,150,2,1607.73,At-Risk
263,12670.0,9,5,2996.05,Occasional
264,12672.0,329,1,225.9,At-Risk
265,12673.0,4,2,610.52,Occasional
266,12674.0,38,4,1970.6,Occasional
267,12676.0,24,6,1331.3899999999999,Occasional
268,12678.0,41,12,17628.46,Regular
269,12679.0,58,4,1113.02,Occasional
270,12680.0,0,4,862.81,Occasional
271,12681.0,14,22,13787.54,Regular
272,12682.0,3,31,12288.22,Regular
273,12683.0,3,15,8476.57,Regular
274,12684.0,7,7,2283.63,Occasional
275,12685.0,27,6,2863.08,Occasional
276,12686.0,371,1,89.14,At-Risk
277,12688.0,113,1,4873.81,Occasional
278,12689.0,25,2,1247.61,Occasional
279,12690.0,205,1,389.01,At-Risk
280,12691.0,27,6,1035.8,Occasional
281,12693.0,126,4,855.91,Occasional
282,12694.0,69,2,869.67,Occasional
283,12695.0,6,4,582.1,Occasional
284,12697.0,28,3,957.59,Occasional
285,12700.0,7,4,4939.99,Occasional
286,12701.0,79,2,797.71,Occasional
287,12702.0,19,1,219.0,Occasional
288,12703.0,70,1,283.55,Occasional
289,12704.0,6,8,2340.84,Occasional
290,12705.0,14,9,6868.29,Occasional
291,12707.0,291,1,603.42,At-Risk
292,12708.0,29,10,2712.91,Occasional
293,12709.0,14,15,9736.52,Regular
294,12710.0,96,3,1149.02,Occasional
295,12712.0,28,13,4396.13,Regular
296,12713.0,0,1,848.55,Occasional
297,12714.0,8,5,4708.86,Occasional
298,12715.0,105,1,353.86,Occasional
299,12716.0,3,2,1053.49,Occasional
300,12717.0,150,2,1030.98,At-Risk
301,12718.0,70,1,238.25,Occasional
302,12719.0,4,2,644.95,Occasional
303,12720.0,2,25,5781.73,Regular
304,12721.0,31,6,2656.13,Occasional
305,12722.0,84,4,997.63,Occasional
306,12723.0,3,5,725.07,Occasional
307,12724.0,4,4,1031.41,Occasional
308,12725.0,370,1,427.8,At-Risk
309,12726.0,27,7,2609.1,Occasional
310,12727.0,10,7,3980.7,Occasional
311,12728.0,70,4,836.33,Occasional
312,12729.0,113,1,453.01,Occasional
313,12731.0,23,12,18895.91,Regular
314,12732.0,179,1,236.26,At-Risk
315,12733.0,233,1,383.95,At-Risk
316,12734.0,352,1,110.39999999999999,At-Risk
317,12735.0,314,2,779.5699999999999,At-Risk
318,12736.0,332,1,234.0,At-Risk
319,12738.0,371,1,155.35,At-Risk
320,12739.0,77,2,1013.04,Occasional
321,12740.0,63,1,427.6,Occasional
322,12743.0,133,2,546.43,Occasional
323,12744.0,55,5,9522.29,Occasional
324,12747.0,1,11,4196.01,Regular
325,12748.0,0,208,32869.23,Whale
326,12749.0,3,5,4090.88,Occasional
327,12750.0,128,1,275.88,Occasional
328,12752.0,80,1,4366.78,Occasional
329,12753.0,22,6,21429.39,Regular
330,12754.0,235,3,3010.7400000000002,At-Risk
331,12755.0,280,2,3811.9500000000003,At-Risk
332,12756.0,86,1,112.08,Occasional
333,12757.0,15,11,5373.14,Regular
334,12758.0,116,2,2791.59,Occasional
335,12759.0,51,3,1531.44,Occasional
336,12762.0,7,2,1898.52,Occasional
337,12763.0,137,2,494.08,Occasional
338,12764.0,316,1,1693.88,At-Risk
339,12766.0,3,7,6989.63,Occasional
340,12769.0,238,1,1143.6,At-Risk
341,12770.0,210,1,1351.45,At-Risk
342,12772.0,59,1,892.47,Occasional
343,12775.0,16,5,1386.04,Occasional
344,12778.0,19,6,822.23,Occasional
345,12779.0,37,8,3981.36,Occasional
346,12781.0,63,2,826.74,Occasional
347,12782.0,4,5,2330.92,Occasional
348,12783.0,1,6,2225.91,Occasional
349,12784.0,8,2,574.42,Occasional
350,12785.0,363,1,311.95,At-Risk
351,12787.0,9,3,463.65999999999997,Occasional
352,12789.0,64,1,91.85,Occasional
353,12790.0,191,1,324.91999999999996,At-Risk
354,12791.0,373,1,192.6,At-Risk
355,12792.0,256,1,400.53999999999996,At-Risk
356,12793.0,334,2,545.48,At-Risk
357,12794.0,52,2,860.41,Occasional
358,12795.0,18,1,430.48,Occasional
359,12797.0,365,1,254.03,At-Risk
360,12798.0,43,2,3325.44,Occasional
361,12802.0,186,1,427.58,At-Risk
362,12808.0,36,3,483.65000000000003,Occasional
363,12809.0,177,1,489.31,At-Risk
364,12811.0,260,3,514.85,At-Risk
365,12812.0,44,1,229.64,Occasional
366,12814.0,101,1,125.92,Occasional
367,12815.0,147,2,1063.46,At-Risk
368,12816.0,95,2,572.2,Occasional
369,12817.0,280,1,166.04,At-Risk
370,12818.0,261,1,1542.08,At-Risk
371,12820.0,2,4,942.34,Occasional
372,12821.0,213,1,92.72,At-Risk
373,12822.0,70,2,948.88,Occasional
374,12823.0,74,5,1759.5,Occasional
375,12824.0,59,1,397.12,Occasional
376,12826.0,2,7,1474.72,Occasional
377,12827.0,5,3,430.15,Occasional
378,12828.0,2,6,1018.7099999999999,Occasional
379,12829.0,336,2,293.0,At-Risk
380,12830.0,37,6,6814.64,Occasional
381,12831.0,261,1,215.05,At-Risk
382,12832.0,31,2,383.03000000000003,Occasional
383,12833.0,144,1,417.38,At-Risk
384,12834.0,282,1,312.38,At-Risk
385,12836.0,58,4,2612.86,Occasional
386,12837.0,172,1,134.1,At-Risk
387,12838.0,33,2,683.13,Occasional
388,12839.0,2,14,5591.42,Regular
389,12840.0,143,4,2726.77,Occasional
390,12841.0,4,25,4022.35,Regular
391,12842.0,69,2,1118.99,Occasional
392,12843.0,65,8,1702.26,Occasional
393,12844.0,28,2,325.96,Occasional
394,12845.0,266,4,354.09000000000003,At-Risk
395,12847.0,21,1,871.54,Occasional
396,12849.0,30,2,1050.89,Occasional
397,12851.0,96,1,135.18,Occasional
398,12852.0,294,1,311.55,At-Risk
399,12853.0,134,6,1957.1,Occasional
400,12854.0,78,3,1324.5,Occasional
401,12855.0,372,1,38.099999999999994,At-Risk
402,12856.0,7,6,2179.93,Occasional
403,12857.0,210,2,1106.4,At-Risk
404,12863.0,51,1,521.2,Occasional
405,12864.0,137,1,147.12,Occasional
406,12865.0,25,2,1568.23,Occasional
407,12866.0,282,1,559.12,At-Risk
408,12867.0,25,7,4036.82,Occasional
409,12868.0,185,6,1607.06,At-Risk
410,12871.0,83,2,380.64,Occasional
411,12872.0,326,2,599.97,At-Risk
412,12873.0,281,1,374.0,At-Risk
413,12875.0,142,2,343.23,Occasional
414,12876.0,57,2,2218.02,Occasional
415,12877.0,3,12,1535.77,Regular
416,12878.0,235,2,854.99,At-Risk
417,12879.0,44,3,573.22,Occasional
418,12881.0,275,1,298.0,At-Risk
419,12882.0,8,2,1463.04,Occasional
420,12883.0,24,4,703.47,Occasional
421,12884.0,87,1,309.05,Occasional
422,12885.0,62,3,1175.22,Occasional
423,12886.0,67,2,1378.4,Occasional
424,12888.0,213,2,354.12,At-Risk
425,12890.0,23,1,380.46999999999997,Occasional
426,12891.0,185,3,331.0,At-Risk
427,12893.0,30,1,188.14,Occasional
428,12895.0,41,2,372.8,Occasional
429,12897.0,204,2,216.5,At-Risk
430,12901.0,8,28,15512.54,Regular
431,12902.0,264,1,138.68,At-Risk
432,12904.0,17,2,509.58,Occasional
433,12906.0,11,5,2919.81,Occasional
434,12908.0,175,2,750.0,At-Risk
435,12909.0,39,5,2178.67,Occasional
436,12910.0,22,8,3075.04,Occasional
437,12912.0,2,5,1662.3,Occasional
438,12913.0,4,5,2483.63,Occasional
439,12915.0,148,2,363.65,At-Risk
440,12916.0,138,4,3006.15,Occasional
441,12917.0,127,1,594.0,Occasional
442,12919.0,7,6,1335.19,Occasional
443,12920.0,16,1,164.23,Occasional
444,12921.0,8,37,16587.09,Regular
445,12922.0,160,1,405.38,At-Risk
446,12923.0,63,1,176.97,Occasional
447,12924.0,87,4,933.7,Occasional
448,12925.0,4,2,694.05,Occasional
449,12928.0,34,5,2062.7,Occasional
450,12929.0,311,1,117.85,At-Risk
451,12930.0,77,2,415.8,Occasional
452,12931.0,21,15,37879.96,Regular
453,12933.0,23,3,607.53,Occasional
454,12935.0,1,7,2160.7,Occasional
455,12936.0,16,4,1063.9,Occasional
456,12937.0,14,4,1504.27,Occasional
457,12938.0,25,1,114.14,Occasional
458,12939.0,63,8,11581.8,Regular
459,12940.0,54,2,913.54,Occasional
460,12942.0,130,3,683.9,Occasional
461,12944.0,35,2,604.51,Occasional
462,12945.0,287,1,462.95,At-Risk
463,12947.0,143,6,1603.99,Occasional
464,12948.0,15,7,2064.95,Occasional
465,12949.0,30,8,4167.22,Occasional
466,12950.0,1,3,1843.0,Occasional
467,12951.0,8,6,1064.07,Occasional
468,12952.0,5,4,1387.79,Occasional
469,12953.0,9,1,329.85,Occasional
470,12955.0,0,11,4757.16,Regular
471,12956.0,305,1,108.07,At-Risk
472,12957.0,9,8,4017.54,Occasional
473,12962.0,6,2,266.39,Occasional
474,12963.0,7,8,1856.6299999999999,Occasional
475,12965.0,88,1,771.91,Occasional
476,12966.0,9,1,160.18,Occasional
477,12967.0,357,2,1660.9,At-Risk
478,12968.0,111,1,135.95,Occasional
479,12970.0,6,4,452.24,Occasional
480,12971.0,3,86,11189.91,Loyal
481,12974.0,197,1,144.8,At-Risk
482,12976.0,211,1,738.6,At-Risk
483,12977.0,155,1,39.239999999999995,At-Risk
484,12980.0,157,9,7374.9,Occasional
485,12981.0,29,2,372.21999999999997,Occasional
486,12982.0,242,1,390.54,At-Risk
487,12984.0,18,1,97.5,Occasional
488,12985.0,0,2,1239.38,Occasional
489,12987.0,73,2,558.7,Occasional
490,12988.0,291,1,535.32,At-Risk
491,12989.0,2,15,6924.11,Regular
492,12990.0,30,3,409.5,Occasional
493,12991.0,22,2,503.76,Occasional
494,12993.0,22,4,414.76,Occasional
495,12994.0,3,3,974.42,Occasional
496,12995.0,84,1,211.32,Occasional
497,12997.0,21,4,1226.8899999999999,Occasional
498,12999.0,195,3,455.88,At-Risk
499,13000.0,106,3,534.85,Occasional
500,13001.0,3,13,9818.82,Regular
501,13002.0,317,1,120.95,At-Risk
502,13003.0,105,3,149.05,Occasional
503,13004.0,11,18,5655.91,Regular
504,13005.0,173,2,513.7,At-Risk
505,13006.0,55,1,81.57,Occasional
506,13008.0,322,1,229.47,At-Risk
507,13011.0,371,1,50.55,At-Risk
508,13012.0,8,8,1661.84,Occasional
509,13013.0,0,13,4810.94,Regular
510,13014.0,10,10,3466.28,Occasional
511,13015.0,52,5,3346.2799999999997,Occasional
512,13016.0,72,3,789.89,Occasional
513,13017.0,6,1,204.0,Occasional
514,13018.0,15,28,7277.7,Regular
515,13021.0,3,9,2616.38,Occasional
516,13023.0,63,2,689.9,Occasional
517,13026.0,0,5,975.36,Occasional
518,13027.0,113,6,6912.0,Occasional
519,13028.0,22,2,661.3199999999999,Occasional
520,13029.0,30,3,1247.5,Occasional
521,13030.0,10,2,799.48,Occasional
522,13032.0,51,2,1010.18,Occasional
523,13033.0,356,1,190.55,At-Risk
524,13034.0,54,2,642.77,Occasional
525,13035.0,73,2,921.88,Occasional
526,13037.0,137,3,881.0699999999999,Occasional
527,13038.0,79,3,908.46,Occasional
528,13040.0,8,2,676.99,Occasional
529,13043.0,272,1,516.42,At-Risk
530,13044.0,290,1,560.47,At-Risk
531,13045.0,98,1,305.28000000000003,Occasional
532,13046.0,30,2,629.31,Occasional
533,13047.0,31,10,3237.54,Occasional
534,13048.0,13,4,1835.91,Occasional
535,13049.0,63,2,656.6800000000001,Occasional
536,13050.0,14,17,5836.86,Regular
537,13052.0,211,1,348.15,At-Risk
538,13055.0,77,3,1214.41,Occasional
539,13058.0,24,3,271.40000000000003,Occasional
540,13059.0,249,1,183.4,At-Risk
541,13060.0,253,1,307.53,At-Risk
542,13061.0,71,1,248.60999999999999,Occasional
543,13062.0,190,1,346.98,At-Risk
544,13064.0,12,4,1119.49,Occasional
545,13065.0,372,1,205.85999999999999,At-Risk
546,13066.0,23,2,470.8,Occasional
547,13067.0,81,1,115.46000000000001,Occasional
548,13068.0,9,2,344.0,Occasional
549,13069.0,0,24,4436.12,Regular
550,13070.0,191,1,228.8,At-Risk
551,13072.0,266,1,177.15,At-Risk
552,13075.0,129,1,919.61,Occasional
553,13077.0,0,4,729.27,Occasional
554,13078.0,2,26,12627.94,Regular
555,13079.0,3,5,220.1,Occasional
556,13080.0,178,1,58.08,At-Risk
557,13081.0,11,11,28337.38,Regular
558,13082.0,125,9,3613.63,Occasional
559,13083.0,3,2,303.75,Occasional
560,13085.0,157,2,416.08,At-Risk
561,13089.0,2,97,58825.83,Loyal
562,13090.0,8,14,8910.82,Regular
563,13091.0,27,1,345.82,Occasional
564,13092.0,70,5,477.83,Occasional
565,13093.0,275,8,7832.47,At-Risk
566,13094.0,20,12,1927.32,Regular
567,13095.0,70,1,74.4,Occasional
568,13097.0,32,10,6010.42,Regular
569,13098.0,0,28,28882.44,Regular
570,13099.0,98,1,207.36,Occasional
571,13101.0,233,1,101.19,At-Risk
572,13102.0,0,24,6424.09,Regular
573,13103.0,39,1,243.94,Occasional
574,13104.0,2,6,1098.48,Occasional
575,13106.0,132,1,76.5,Occasional
576,13107.0,43,4,1531.6200000000001,Occasional
577,13108.0,372,1,350.06,At-Risk
578,13109.0,59,2,786.54,Occasional
579,13110.0,30,7,1488.67,Occasional
580,13113.0,0,24,12245.96,Regular
581,13115.0,11,4,2294.78,Occasional
582,13116.0,137,1,501.14,Occasional
583,13117.0,21,8,984.91,Occasional
584,13118.0,19,5,1197.81,Occasional
585,13120.0,238,1,30.6,At-Risk
586,13121.0,268,1,283.73,At-Risk
587,13122.0,93,2,922.39,Occasional
588,13124.0,89,3,3866.33,Occasional
589,13126.0,4,8,2099.64,Occasional
590,13127.0,77,1,259.17,Occasional
591,13130.0,93,1,64.0,Occasional
592,13131.0,22,3,1073.3,Occasional
593,13132.0,261,1,77.3,At-Risk
594,13133.0,273,2,109.8,At-Risk
595,13134.0,85,4,1793.58,Occasional
596,13136.0,55,5,2607.61,Occasional
597,13137.0,10,8,3650.41,Occasional
598,13138.0,21,6,962.39,Occasional
599,13139.0,15,7,5064.9400000000005,Occasional
600,13140.0,107,3,423.72,Occasional
601,13141.0,84,5,2388.75,Occasional
602,13142.0,18,1,307.09000000000003,Occasional
603,13144.0,332,1,110.95,At-Risk
604,13145.0,39,4,618.52,Occasional
605,13146.0,25,1,228.91,Occasional
606,13147.0,9,4,712.8,Occasional
607,13148.0,28,12,3707.12,Regular
608,13149.0,13,4,1676.06,Occasional
609,13151.0,295,1,1257.87,At-Risk
610,13153.0,5,1,486.22,Occasional
611,13155.0,32,4,971.76,Occasional
612,13157.0,48,4,1741.22,Occasional
613,13158.0,94,4,1201.06,Occasional
614,13159.0,8,4,1437.85,Occasional
615,13160.0,21,1,91.8,Occasional
616,13161.0,312,1,112.75,At-Risk
617,13162.0,121,4,1688.29,Occasional
618,13165.0,45,2,1021.48,Occasional
619,13166.0,282,1,417.2,At-Risk
620,13167.0,18,4,791.33,Occasional
621,13168.0,35,4,1319.19,Occasional
622,13169.0,63,2,712.88,Occasional
623,13170.0,26,1,116.00999999999999,Occasional
624,13171.0,21,3,468.41,Occasional
625,13173.0,3,2,353.65000000000003,Occasional
626,13174.0,15,3,2817.03,Occasional
627,13176.0,45,1,492.84,Occasional
628,13177.0,64,1,282.45,Occasional
629,13178.0,25,11,5725.47,Regular
630,13182.0,44,1,121.18,Occasional
631,13183.0,7,9,3957.7799999999997,Occasional
632,13184.0,14,10,1701.29,Occasional
633,13185.0,267,1,71.4,At-Risk
634,13186.0,39,3,1575.89,Occasional
635,13187.0,336,1,236.02,At-Risk
636,13188.0,10,1,114.6,Occasional
637,13189.0,18,2,260.68,Occasional
638,13192.0,94,2,911.94,Occasional
639,13193.0,60,1,117.88,Occasional
640,13194.0,135,1,60.7,Occasional
641,13196.0,10,4,1797.78,Occasional
642,13198.0,9,6,3401.24,Occasional
643,13199.0,3,38,9817.12,Regular
644,13200.0,18,4,870.09,Occasional
645,13203.0,9,4,869.46,Occasional
646,13207.0,14,2,250.26000000000002,Occasional
647,13208.0,58,6,1223.9,Occasional
648,13209.0,29,8,5891.61,Occasional
649,13210.0,93,1,353.48,Occasional
650,13211.0,9,3,1197.42,Occasional
651,13212.0,19,3,788.08,Occasional
652,13213.0,56,5,1520.58,Occasional
653,13216.0,267,1,333.74,At-Risk
654,13217.0,121,3,533.98,Occasional
655,13218.0,126,1,62.64,Occasional
656,13220.0,77,4,819.2900000000001,Occasional
657,13221.0,239,2,847.41,At-Risk
658,13223.0,199,2,163.2,At-Risk
659,13224.0,59,2,2155.95,Occasional
660,13225.0,2,7,6463.84,Occasional
661,13226.0,272,1,108.21000000000001,At-Risk
662,13227.0,201,1,257.7,At-Risk
663,13228.0,80,1,358.0,Occasional
664,13229.0,225,1,160.95,At-Risk
665,13230.0,3,14,2806.97,Regular
